Concept	Code	Source	Description
Heart Failure	155375008	SNOMED	(Congestive cardiac failure) or (dropsy) or (cardiac insufficiency) or (right heart failure) or (right ventricular failure) (disorder)
Heart Failure	266308000	SNOMED	(Congestive cardiac failure) or (dropsy) or (cardiac insufficiency) or (right heart failure) or (right ventricular failure) (disorder)
Heart Failure	195113008	SNOMED	(Left ventricular: [failure] or [impaired function]) or (cardiac asthma) or (acute pulmonary oedema) (disorder)
Heart Failure	195109001	SNOMED	Acute congestive heart failure (disorder)
Heart Failure	195116000	SNOMED	Acute heart failure (disorder)
Heart Failure	359620001	SNOMED	Acute right heart failure (disorder)
Heart Failure	61783007	SNOMED	Acute right-sided heart failure (disorder)
Heart Failure	77737007	SNOMED	Benign hypertensive heart disease with congestive heart failure (disorder)
Heart Failure	198868006	SNOMED	Cardiac failure following abortive pregnancy (disorder)
Heart Failure	269299003	SNOMED	Cardiac insufficiency as a complication of care (disorder)
Heart Failure	195110006	SNOMED	Chronic congestive heart failure (disorder)
Heart Failure	325431000000103	SNOMED	Congestive heart failure due to valvular disease (disorder)
Heart Failure	138789008	SNOMED	H/O: Heart failure in last year (situation)
Heart Failure	161520009	SNOMED	H/O: Heart failure in last year (situation)
Heart Failure	138777006	SNOMED	H/O: heart failure (situation)
Heart Failure	84114007	SNOMED	Heart failure (disorder)
Heart Failure	56675007	SNOMED	Acute heart failure (disorder)
Heart Failure	10633002	SNOMED	Acute congestive heart failure (disorder)
Heart Failure	698296002	SNOMED	Acute exacerbation of chronic congestive heart failure (disorder)
Heart Failure	1.68389510001191E+16	SNOMED	Acute on chronic right-sided congestive heart failure (disorder)
Heart Failure	74960003	SNOMED	Acute left-sided congestive heart failure (disorder)
Heart Failure	80479009	SNOMED	Acute right-sided congestive heart failure (disorder)
Heart Failure	49584005	SNOMED	Acute cor pulmonale (disorder)
Heart Failure	1.59647010001191E+16	SNOMED	Acute cor pulmonale co-occurrent and due to saddle embolus of pulmonary artery (disorder)
Heart Failure	1.59646610001191E+16	SNOMED	Acute cor pulmonale due to septic pulmonary embolism (disorder)
Heart Failure	443343001	SNOMED	Acute diastolic heart failure (disorder)
Heart Failure	153931000119109	SNOMED	Acute combined systolic and diastolic heart failure (disorder)
Heart Failure	153951000119103	SNOMED	Acute on chronic combined systolic and diastolic heart failure (disorder)
Heart Failure	443344007	SNOMED	Acute on chronic diastolic heart failure (disorder)
Heart Failure	1296659009	SNOMED	Acute exacerbation of chronic heart failure (disorder)
Heart Failure	443253003	SNOMED	Acute on chronic systolic heart failure (disorder)
Heart Failure	364006	SNOMED	Acute left-sided heart failure (disorder)
Heart Failure	359617009	SNOMED	Acute right-sided heart failure (disorder)
