From: ICD-10 4th Edition code	Code Description	To: ICD-10 Reprinted (with updates and corrections) 2000 code	Notes	Target Different to Source?	ICD 3char/4char/5char
A00	Cholera	A00		N	3
A00.0	Cholera due to Vibrio cholerae 01, biovar cholerae	A00.0		N	4
A00.1	Cholera due to Vibrio cholerae 01, biovar eltor	A00.1		N	4
A00.9	Cholera, unspecified	A00.9		N	4
A01	Typhoid and paratyphoid fevers	A01		N	3
A01.0	Typhoid fever	A01.0		N	4
A01.1	Paratyphoid fever A	A01.1		N	4
A01.2	Paratyphoid fever B	A01.2		N	4
A01.3	Paratyphoid fever C	A01.3		N	4
A01.4	Paratyphoid fever, unspecified	A01.4		N	4
A02	Other salmonella infections	A02		N	3
A02.0	Salmonella enteritis	A02.0		N	4
A02.1	Salmonella sepsis	A02.1		N	4
A02.2	Localized salmonella infections	A02.2D		Y	4
A02.8	Other specified salmonella infections	A02.8		N	4
A02.9	Salmonella infection, unspecified	A02.9		N	4
A03	Shigellosis	A03		N	3
A03.0	Shigellosis due to Shigella dysenteriae	A03.0		N	4
A03.1	Shigellosis due to Shigella flexneri	A03.1		N	4
A03.2	Shigellosis due to Shigella boydii	A03.2		N	4
A03.3	Shigellosis due to Shigella sonnei	A03.3		N	4
A03.8	Other shigellosis	A03.8		N	4
A03.9	Shigellosis, unspecified	A03.9		N	4
A04	Other bacterial intestinal infections	A04		N	3
A04.0	Enteropathogenic Escherichia coli infection	A04.0		N	4
A04.1	Enterotoxigenic Escherichia coli infection	A04.1		N	4
A04.2	Enteroinvasive Escherichia coli infection	A04.2		N	4
A04.3	Enterohaemorrhagic Escherichia coli infection	A04.3		N	4
A04.4	Other intestinal Escherichia coli infections	A04.4		N	4
A04.5	Campylobacter enteritis	A04.5		N	4
A04.6	Enteritis due to Yersinia enterocolitica	A04.6		N	4
A04.7	Enterocolitis due to Clostridium difficile	A04.7 or A09.X or K52.8		Y	4
A04.8	Other specified bacterial intestinal infections	A04.8		N	4
A04.9	Bacterial intestinal infection, unspecified	A04.9		N	4
A05	Other bacterial foodborne intoxications, not elsewhere classified	A05		N	3
A05.0	Foodborne staphylococcal intoxication	A05.0		N	4
A05.1	Botulism	A05.1		N	4
A05.2	Foodborne Clostridium perfringens [Clostridium welchii] intoxication	A05.2		N	4
A05.3	Foodborne Vibrio parahaemolyticus intoxication	A05.3		N	4
A05.4	Foodborne Bacillus cereus intoxication	A05.4		N	4
A05.8	Other specified bacterial foodborne intoxications	A05.8		N	4
A05.9	Bacterial foodborne intoxication, unspecified	A05.9		N	4
A06	Amoebiasis	A06		N	3
A06.0	Acute amoebic dysentery	A06.0		N	4
A06.1	Chronic intestinal amoebiasis	A06.1		N	4
A06.2	Amoebic nondysenteric colitis	A06.2		N	4
A06.3	Amoeboma of intestine	A06.3		N	4
A06.4	Amoebic liver abscess	A06.4		N	4
A06.5D	Amoebic lung abscess	A06.5D	Associated asterisk code J99.8	N	4
A06.6D	Amoebic brain abscess	A06.6D	Associated asterisk code G07.X	N	4
A06.7	Cutaneous amoebiasis	A06.7		N	4
A06.8	Amoebic infection of other sites	A06.8		N	4
A06.9	Amoebiasis, unspecified	A06.9		N	4
A07	Other protozoal intestinal diseases	A07		N	3
A07.0	Balantidiasis	A07.0		N	4
A07.1	Giardiasis [lambliasis]	A07.1		N	4
A07.2	Cryptosporidiosis	A07.2		N	4
