concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Disease	attributes.Medcode	attributes.Category	attributes.ReadcodeDescr	attributes.Readcode	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58371	G557100	Beriberi heart disease	Other Cardiomyopathy	49844.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58370	G557011	Cardiac amyloidosis	Other Cardiomyopathy	105798.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58380	G558z00	Cardiomyopathy in diseases EC, NOS	Other Cardiomyopathy	98020.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58390	Gyu5R00	[X]Cardiomyopathy in metabolic diseases CE	Other Cardiomyopathy	98634.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58365	G554500	Takotsubo cardiomyopathy	Other Cardiomyopathy	101015.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58363	G554100	Constrictive cardiomyopathy	Other Cardiomyopathy	41488.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58389	Gyu5P00	[X]Other cardiomyopathies	Other Cardiomyopathy	97617.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58359	F391B00	Cardiomyopathy in Duchenne muscular dystrophy	Other Cardiomyopathy	44272.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58384	G55..00	Cardiomyopathy	Other Cardiomyopathy	3204.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
1048	3235	2021-10-06T16:04:11.640429Z	1252	1939	1	1252	1885	58358	C373G00	Senile cardiac amyloidosis	Other Cardiomyopathy	105398.0	Diagnosis of Other Cardiomyopathy			3235	Other Cardiomyopathy - Primary care	5	Read codes v2	Read codes v2	PH129	258	Other Cardiomyopathy
