concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329857	0202020D0BBAAAE	Burinex 1mg tablets	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329888	0202020L0AACYCY	Furosemide 37.5mg/5ml oral liquid	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329879	0202020L0AACKCK	Furosemide 2mg/5ml oral liquid	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329871	0202020L0AACCCC	Furosemide 30mg/5ml oral liquid	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329935	0205052AEBBAAAA	Entresto 49mg/51mg tablets	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329865	0202020L0AABQBQ	Furosemide 20mg/5ml oral solution sugar free	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329931	0204000ABBCAAAA	Hypoloc 5mg tablets	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329900	0202020L0BZAABQ	Frusol 20mg/5ml oral solution	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329863	0202020L0AABNBN	Furosemide 40mg/5ml oral solution sugar free	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
3397	10442	2023-07-25T16:42:40.259065Z	8998	10661	1	8998	10368	329936	0205052AEBBABAB	Entresto 97mg/103mg tablets	10442	Heart failure	11	BNF codes	BNF codes	PH1603	3016	Heart failure medication
