concept_id	concept_history_id	concept_history_date	component_id	component_history_id	logical_type	codelist_id	codelist_history_id	id	code	description	attributes.Entity.type	attributes.Category	attributes.Coding.System..ICD.10.	concept_version_id	concept_name	coding_system.id	coding_system.name	coding_system.description	phenotype_id	phenotype_version_id	phenotype_name
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121058	I23.5	Rupture of papillary muscle as current complication following acute myocardial infarction 	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121042	I21.4	Acute subendocardial myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121052	I22.9	Subsequent myocardial infarction of unspecified site	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121041	I21.9	Acute myocardial infarction, unspecified	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121059	I23.2	Ventricular septal defect as current complication following acute myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121044	I21.3	Acute transmural myocardial infarction of unspecified site 	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121050	I22	 Subsequent myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121055	I23.6	Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute my	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121060	I23.4	Rupture of chordae tendineae as current complication following acute myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121054	I22.8	Subsequent myocardial infarction of other sites	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121056	I23.1	Atrial septal defect as current complication following acute myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121051	I22.0	Subsequent myocardial infarction of anterior wall 	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121045	I21	Acute myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121043	I21.0	Acute transmural myocardial infarction of anterior wall	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121048	I23.8	Other current complications following acute myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121046	I21.2	Acute transmural myocardial infarction of other sites	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121057	I23.0	 Haemopericardium as current complication following acute myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121049	I23	Certain current complications following acute myocardial infarction	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121047	I21.1	Acute transmural myocardial infarction of inferior wall	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121053	I22.1	Subsequent myocardial infarction of inferior wall	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
2017	5172	2021-10-06T16:26:43.504842Z	2221	2908	1	2221	2854	121061	I23.3	Rupture of cardiac wall without haemopericardium as current complication following acute myocardial 	myocardial infarction - icd10	diagnostic	ICD-10	5172	Myocardial Infarction - Primary Care	4	ICD10 codes	ICD10 Codes	PH611	1222	Myocardial Infarction
