ICD9,description
4254,Other primary cardiomyopathies
425,Cardiomyopathy
4250,Endomyocardial fibrosis 
4252,Obscure cardiomyopathy of Africa
4253,Endocardial fibroelastosis
4255,Alcoholic cardiomyopathy
4257,Nutritional and metabolic cardiomyopathy
4258,Cardiomyopathy in other diseases classified elsewhere
4259,"Secondary cardiomyopathy, unspecified"
42983,Takotsubo syndrome
4251,Hypertrophic cardiomyopathy
42511,Hypertrophic obstructive cardiomyopathy
42518,Hypertrophic non-obstructive cardiomyopathy
