ICD9,description
745,Bulbus cordis anomalies and anomalies of cardiac septal closure
746,Other congenital anomalies of heart
747,Patent Ductus Arteriosus
6485,Congenital cardiovascular disorders complicating pregnancy childbirth or the puerperium
7450,Common Truncus
7451,Transposition of great vessels
7452,Tetralogy of Fallot
7453,Common Ventricle or Double Inlet Ventricle
7456,Endocardial cushion defects
7457,Cor Biloculare
7458,Other Bulbus Cordis Anomaly and Septal Defect
7459,Unspecified Defect of Septal Defect
7460,Pulmonary Valve Anomaly
7461,Congenital Tricuspid Atresia and Stenosis
7462,Ebsteins Anomaly
7463,Congenital stenosis of aortic valve
7464,Congenital insufficiency of aortic valve
7465,Congenital Mitral Stenosis
7466,Congenital Mitral Insufficiency
7467,Hypoplastic Left Heart Syndrome
7468,Other specified congenital anomalies of heart
7469,Unspecified congenital anomaly of heart
7470,Patent Ductus Arteriosus
7471,Coarctation of Aorta
7472,Other Congenital Anomalies of Aorta
7473,Congenital Anomalies of Pulmonary Artery
7474,Congenital anomalies of great veins
7593,"Abnormal atrial arrangement, Total mirror imagery (situs inversus)"
64850,"Congenital cardiovascular disorders of mother, unspecified as to episode of care or not applicable"
64851,"Congenital cardiovascular disorders of mother, delivered, with or without mention of antepartum condition"
64852,"Congenital cardiovascular disorders of mother, delivered, with mention of postpartum complication"
64853,"Congenital cardiovascular disorders of mother, antepartum condition or complication"
64854,"Congenital cardiovascular disorders of mother, postpartum condition or complication"
74500,Common Truncus
74510,Complete Transposition of Great Vessels
74511,Double Outlet Right Ventricle
74512,L-Transposition of Great Vessels
74519,Other and unspecified transposition of great vessels
74520,Tetralogy of Fallot
74530,Common Ventricle or Double Inlet Ventricle
74560,Endocardial Cushion Defect
74561,Ostium Primum Atrial Septal Defect
74569,Atrioventricular septal defect
74570,Cor Biloculare
74600,"Congenital pulmonary valve anomaly, unspecified"
74601,Pulmonary Atresia
74602,Congenital Pulmonary Stenosis
74609,PULMONARY VALVE ANOM UNSPEC
74610,"Tricuspid atresia and stenosis, congenital"
74620,Ebsteins Anomaly
74670,Hypoplastic left heart syndrome
74681,Subaortic Stenosis
74682,Cor Triatriatum
74683,PULMONARY STENOSIS INFUNDIBULA
74684,Congenital Obstructive Anomalies of Heart
74685,Congenital Coronary Artery Anomaly
74687,Malposition of Heart and Cardiac Apex
74689,Other Congenital Anomalies of Heart
74690,Other Congenital Anomalies of Heart
74710,Coarctation of Aorta
74711,Interruption of Aortic Arch
74720,Other Congenital Anomalies of Aorta
74721,Other Congenital Anomalies of Aorta
74722,Atresia and Stenosis of Aorta
74729,Other Congenital Anomalies of Aorta
74730,Anomalies of pulmonary artery (includes pulmonary atresia)
74731,Pulmonary artery coarctation and atresia
74740,Congenital Anomalies of Great Veins
74741,Total anomalous pulmonary venous return
74742,Partial anomalous pulmonary venous return
74749,Other anomalies of great veins
