concept	Code	Source	Description	QW	RTL	NS	LL	Votes	Concensus	Comment	agreement	Concept
DCM_IsA	I420	ICD10	Dilated cardiomyopathy	1	1	1	1	4	1		1	Dilated cardiomyopathy
LVSD_IsA	I502	ICD10	Systolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I5020	ICD10	Unspecified systolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I5021	ICD10	Acute systolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I5022	ICD10	Chronic systolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I5023	ICD10	Acute on chronic systolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I504	ICD10	Combined systolic (congestive) and diastolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I5040	ICD10	Unspecified combined systolic (congestive) and diastolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I5041	ICD10	Acute combined systolic (congestive) and diastolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I5042	ICD10	Chronic combined systolic (congestive) and diastolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	I5043	ICD10	Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	42821	ICD9	Acute systolic heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	42822	ICD9	Chronic systolic heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	42823	ICD9	Acute on chronic systolic heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	42840	ICD9	Combined systolic and diastolic heart failure, unspecified	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	42841	ICD9	Acute combined systolic and diastolic heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	42842	ICD9	Chronic combined systolic and diastolic heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	42843	ICD9	Acute on chronic combined systolic and diastolic heart failure	1	1	1	1	4	1		1	Left ventricular systolic dysfunction
LVSD_IsA	42820	ICD9	Systolic heart failure, unspecified	1	1	1	0	3	1		0.75	Left ventricular systolic dysfunction
Myocardial_infarction	I21	ICD10	Acute myocardial infarction	0	0	0	1	1	1		0.25	Myocardial infarction
Myocardial_infarction	I210	ICD10	ST elevation (STEMI) myocardial infarction of anterior wall	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I2101	ICD10	ST elevation (STEMI) myocardial infarction involving left main coronary artery	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I2102	ICD10	ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I2109	ICD10	ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I211	ICD10	ST elevation (STEMI) myocardial infarction of inferior wall	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I2111	ICD10	ST elevation (STEMI) myocardial infarction involving right coronary artery	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I2119	ICD10	ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I212	ICD10	ST elevation (STEMI) myocardial infarction of other sites	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I2121	ICD10	ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I2129	ICD10	ST elevation (STEMI) myocardial infarction involving other sites	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I213	ICD10	ST elevation (STEMI) myocardial infarction of unspecified site	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I214	ICD10	Non-ST elevation (NSTEMI) myocardial infarction	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I219	ICD10	Acute myocardial infarction, unspecified	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I21A	ICD10	Other type of myocardial infarction	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I21A1	ICD10	Myocardial infarction type 2	0	1	1	0	2	1	Is this what we want?   I think we could refer to universal definiion/subtypes of MI here if needed.	0.5	Myocardial infarction
Myocardial_infarction	I21A9	ICD10	Other myocardial infarction type	0	1	1	0	2	1		0.5	Myocardial infarction
Myocardial_infarction	I21B	ICD10	Myocardial infarction with coronary microvascular dysfunction	0	0	0	1	1	1		0.25	Myocardial infarction
Myocardial_infarction	I22	ICD10	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I220	ICD10	Subsequent ST elevation (STEMI) myocardial infarction of anterior wall	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I221	ICD10	Subsequent ST elevation (STEMI) myocardial infarction of inferior wall	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I222	ICD10	Subsequent non-ST elevation (NSTEMI) myocardial infarction	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I228	ICD10	Subsequent ST elevation (STEMI) myocardial infarction of other sites	1	1	1	1	4	1		1	Myocardial infarction
Myocardial_infarction	I229	ICD10	Subsequent ST elevation (STEMI) myocardial infarction of unspecified site	1	1	1	1	4	1		1	Myocardial infarction
