concept	Code	Source	Description	QW	RTL	NS	LL	Votes	Concensus	Comment	agreement	Concept
HF_IsA	155375008	SNOMED	(Congestive cardiac failure) or (dropsy) or (cardiac insufficiency) or (right heart failure) or (right ventricular failure) (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	266308000	SNOMED	(Congestive cardiac failure) or (dropsy) or (cardiac insufficiency) or (right heart failure) or (right ventricular failure) (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	195113008	SNOMED	(Left ventricular: [failure] or [impaired function]) or (cardiac asthma) or (acute pulmonary oedema) (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	195109001	SNOMED	Acute congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	195116000	SNOMED	Acute heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	359620001	SNOMED	Acute right heart failure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	61783007	SNOMED	Acute right-sided heart failure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	77737007	SNOMED	Benign hypertensive heart disease with congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	198868006	SNOMED	Cardiac failure following abortive pregnancy (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	269299003	SNOMED	Cardiac insufficiency as a complication of care (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	195110006	SNOMED	Chronic congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	325431000000103	SNOMED	Congestive heart failure due to valvular disease (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	138789008	SNOMED	H/O: Heart failure in last year (situation)	0	0	1	1	2	1		0.5	Heart Failure
HF_IsA	161520009	SNOMED	H/O: Heart failure in last year (situation)	0	0	1	1	2	1		0.5	Heart Failure
HF_IsA	138777006	SNOMED	H/O: heart failure (situation)	0	0	1	1	2	1		0.5	Heart Failure
HF_IsA	84114007	SNOMED	Heart failure (disorder)	1	0	1	1	3	1		0.75	Heart Failure
HF_IsA	56675007	SNOMED	Acute heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	10633002	SNOMED	Acute congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	698296002	SNOMED	Acute exacerbation of chronic congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	1.68389510001191E+16	SNOMED	Acute on chronic right-sided congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	74960003	SNOMED	Acute left-sided congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	80479009	SNOMED	Acute right-sided congestive heart failure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	49584005	SNOMED	Acute cor pulmonale (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	1.59647010001191E+16	SNOMED	Acute cor pulmonale co-occurrent and due to saddle embolus of pulmonary artery (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	1.59646610001191E+16	SNOMED	Acute cor pulmonale due to septic pulmonary embolism (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	443343001	SNOMED	Acute diastolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	153931000119109	SNOMED	Acute combined systolic and diastolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	153951000119103	SNOMED	Acute on chronic combined systolic and diastolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	443344007	SNOMED	Acute on chronic diastolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	1296659009	SNOMED	Acute exacerbation of chronic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	443253003	SNOMED	Acute on chronic systolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	364006	SNOMED	Acute left-sided heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	359617009	SNOMED	Acute right-sided heart failure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	1264003007	SNOMED	Acute right ventricular failure following incision of heart (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	443254009	SNOMED	Acute systolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	55565007	SNOMED	Cardiac failure after obstetrical surgery AND/OR other procedure including delivery (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	89819002	SNOMED	Cardiac insufficiency during AND/OR resulting from a procedure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	60856006	SNOMED	Cardiac insufficiency following cardiac surgery (disorder)	0	0	1	0	1	1		0.25	Heart Failure
HF_IsA	5053004	SNOMED	Cardiac insufficiency due to prosthesis (disorder)	0	0	1	0	1	1		0.25	Heart Failure
HF_IsA	871617000	SNOMED	Low output heart failure due to and following Fontan operation (disorder)	1	0	1	1	3	1		0.75	Heart Failure
HF_IsA	445236007	SNOMED	Cardiorenal syndrome (disorder)	0	1	1	0	2	1		0.5	Heart Failure
HF_IsA	194781004	SNOMED	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	48447003	SNOMED	Chronic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	88805009	SNOMED	Chronic congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	5375005	SNOMED	Chronic left-sided congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	43736008	SNOMED	Rheumatic left ventricular failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	66989003	SNOMED	Chronic right-sided congestive heart failure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	82523003	SNOMED	Congestive rheumatic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	441530006	SNOMED	Chronic diastolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	153941000119100	SNOMED	Chronic combined systolic and diastolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	111283005	SNOMED	Chronic left-sided heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	10335000	SNOMED	Chronic right-sided heart failure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	79955004	SNOMED	Chronic cor pulmonale (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	441481004	SNOMED	Chronic systolic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	424404003	SNOMED	Decompensated chronic heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
HF_IsA	195112003	SNOMED	Compensated cardiac failure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	206586007	SNOMED	Congenital cardiac failure (disorder)	1	1	1	0	3	1		0.75	Heart Failure
HF_IsA	42343007	SNOMED	Congestive heart failure (disorder)	1	1	1	1	4	1		1	Heart Failure
